,negative_anomalies
Jarkko Nieminen,9
Gustavo Kuerten,9
Janko Tipsarevic,9
Rik De Voest,6
Robby Ginepri,6
Juan Martin Del Potro,6
Marko Tkalec,6
Pablo Gonzalez,6
Mardy Fish,5
James Blake,5
Andre Sa,5
Luis Horna,5
Benjamin Balleret,5
Andy Murray,5
Peng Sun,5
Kittipong Wachiramanowong,5
Cecil Mamiit,5
Olivier Rochus,5
Ivan Ljubicic,5
Stian Boretti,5
Jurgen Melzer,4
Gilles Muller,4
Michal Przysiezny,4
Taylor Dent,4
Paradorn Srichaphan,4
Raemon Sluiter,4
Rohan Bopanna,4
Murad Inoyatov,4
Donald Young,4
Attila Balazs,4
xValentin Sanon,4
Chris Guccione,4
Takao Suzuki,4
Florian Mayer,4
Feliciano Lopez,4
Martins Podzus,4
Younes El Aynaoui,4
Yen Hsun Lu,4
Nicolas Massu,4
Rui Machado,3
Somdev Devvarman,3
Alex Bogdanovic,3
Filippo Volandri,3
Jan Michael Gambill,3
Robin Haase,3
Alejandro Falla,3
Dudi Sela,3
Santiago Giraldo,3
Dmitriy Makeyev,3
Max Mirnyi,3
Ze Zhang,3
Karim Maamoun,3
Martin Vilarrubi,3
Igor Andreev,3
Christopher Diaz Figueroa,3
Victor Estrella,3
Gergely Kisgyorgy,3
Nikolay Davydenko,3
Francisco Rodriguez,3
Viktor Troicki,3
Dominik Hrbaty,3
Sergiy Stakhovsky,3
Konstantinos Economidis,3
Philip Bester,3
Julio Cesar Campozano,3
Juan Antonio Marin,3
Juho Paukku,3
Guillermo Coria,3
Ryan Harrison,3
Mait Kunnap,3
Juan Ignacio Chela,3
Gwinyai Tongoona,3
Kenneth Carlsen,3
Alexey Kedryuk,3
Yuki Bhambri,3
Thierry Ascione,3
Fernando Verdasco,3
Nicolas Almagro,3
Tommy Haas,3
Pablo Cuevas,3
Warit Sornbutnark,3
Aisam Ul Haq Qureshi,3
Andreas Vinciguerra,3
Andrey Dernovskiy,3
Tommy Robredo,3
Ivo Karlovic,3
Tomas Behrend,3
Malek Jaziri,3
Roger Federer,3
Guilherme Clezar,3
Go Soeda,3
Fernando Gonzalez,3
Philipp Kohlschreiber,3
Alexander Peya,3
Ramon Delgado,3
Wayne Arthurs,3
Tim Smyczek,3
Martin Verkerk,3
Lovro Zovko,3
Lukas Lacko,3
Pablo Bianchi,3
Jhonson Garcia,3
Andrei Medvedev,3
Victor Hanescu,3
Melvin Tong,2
Bartlomiej Dabrowski,2
Tomas Zib,2
Mirza Basic,2
James Ward,2
Michael Berrer,2
Erhan Oral,2
Justin Gimelstob,2
Aqeel Khan,2
Mehdi Ziadi,2
Claude Ngoran,2
Micke Kontinen,2
Ernests Gulbis,2
Kristian Capalik,2
Conor Niland,2
Sebastien Lareau,2
Lukasz Kubot,2
Weerapat Doakmaiklee,2
Fabio Fognini,2
Richard Gasquet,2
Suk Young Jeong,2
Adrian Mannarino,2
Sergio Galdos,2
Ti Chen,2
Artem Sitak,2
Christopher Rungkat,2
Jerzy Janowicz,2
Vladimir Pavicevic,2
Robert Smeets,2
Mario Ancic,2
Alexander Lazov,2
Andrei Pavel,2
Jeff Salzenstein,2
Dinu Pescariu,2
Slimane Saoudi,2
Jimmy Wang,2
Bruno Echagaray,2
Ivan Endara,2
Shao Xuan Zeng,2
Andrey Golubev,2
Mark Merklein,2
Jean Rene Lisnard,2
Young Jun Kim,2
Harsh Mankad,2
Mike Vermeer,2
Grigor Dimitrov,2
Arvind Parmar,2
Dimitar Kuzmanov,2
Steve Johnson,2
Mohammad Ghareeb,2
Maxim Dubarenco,2
Marc Gicquel,2
Reda El Amrani,2
Jesse Huta Galung,2
Agustin Calleri,2
Suwandi Suwandi,2
Rainer Schuettler,2
Vadim Kutsenko,2
Joachim Johansson,2
Ronald Agenor,2
Ruben Bemelmans,2
David Souto,2
Alexander Waske,2
Ante Pavic,2
Federico Dondo,2
Antony Dupuis,2
Marcos Baghdatis,2
Andy Roddick,2
Frank Dancevic,2
Federico Zeballos,2
Scott Humphries,2
Marcos Daniel,2
Tsung Hua Yang,2
Ruben Ramirez Hidalgo,2
Tomas Berdych,2
Peter Polansky,2
Hugo Dellien,2
Radoslav Lukaev,2
Amer Delic,2
Teymuraz Gabashvili,2
Sergi Bruguera,2
Todd Woodbridge,2
Thomas Johansson,2
Blaz Kavcic,2
Dick Norman,2
Solon Peppas,2
Toshihide Matsui,2
Carlos Moya,2
Stanislas Wawrinka,2
Frederico Gil,2
Yuri Schukin,2
Bob Bryan,2
Karlis Lejnieks,2
Ben Qiang Zhu,2
Bobby Reynolds,2
Bjorn Phau,2
Cesar Ramirez,2
Yuichi Sugita,2
Philipp Petzschner,2
Predrag Rusevski,2
Dzmitry Zhyrmont,2
Damir Dzumhur,2
Krystian Pfeiffer,2
Dominik Meffert,2
Guillermo Canas,2
Antso Rakotondramanga,2
Andreas Haider Maurer,2
Gustavo Marcaccio,2
Amir Hadad,2
Luis Adrian Morejon,2
Elias Ymer,2
Roberto Bautista Agut,2
Juan Carlos Ferrero,2
Alexandros Jakupovic,2
Nicolas Mahut,2
Lleyton Hewitt,2
Rafael Arevalo,2
Daniel Vacek,2
Andrej Kracman,2
Christian Vinck,2
Danai Udomchoke,2
Xin Yuan Yu,2
Farrukh Dustov,2
Gaston Gaudio,2
David Nalbandian,2
Julian Reister,2
Woong Sun Jun,2
Marton Fucsovics,2
Andis Juska,2
Kristian Pless,2
Deniss Pavlovs,2
Jan Hernych,2
Marcel Felder,2
Marius Copil,2
Robert Kendrick,2
Sam Barry,2
Syrym Abdukhalikov,2
Daniel Garza,2
Emanuel Couto,2
Jose Hernandez,2
Sergio Roitman,2
Nicolas Thomann,2
Benjamin Becker,2
Igor Sijsling,2
Prakash Amritraj,2
Mike Scheidweiler,2
Ivo Minar,2
Mark Philippoussis,2
Juan Monaco,2
Miguel Gallardo Valles,2
Giovanni Lapentti,1
Thomaz Bellucci,1
Ricardo Mello,1
Balazs Veress,1
Mohamed Mamoun,1
Ben Fatael,1
Daniel Nestor,1
Blazej Koniusz,1
Andreas Fasching,1
Christophe Rochus,1
Thomas Schiessling,1
Attila Savolt,1
Karim Alami,1
Alex Clayton,1
Jan Vacek,1
Henry So,1
Milos Raonic,1
Brendan Evans,1
Kenny De Schepper,1
Serguei Tarasevitch,1
Jamie Delgado,1
Marcelo Arevalo,1
Illya Marchenko,1
Sjeng Schalken,1
Dennis Van Scheppingen,1
Andreas Seppi,1
Fabrice Santoro,1
Frederik Fetterlein,1
Michael Lammer,1
Lorenzo Manta,1
Laurynas Grigelis,1
Stephane Robert,1
Robin Soderling,1
Lukas Rosol,1
Denis Kudla,1
Wayne Black,1
Nicolas Lapentti,1
Lefteris Alexiou,1
Martin Lee,1
Ivan Miranda,1
Henri Laaksonen,1
Martin Vassallo Arguello,1
James Mcgee,1
Alexander Popp,1
Hugo Armando,1
Edwin Kempes,1
Martin Pedersen,1
Federico Delbonis,1
Diego Galeano,1
Matthew Ebden,1
Novak Djokovic,1
Wei Jen Cheng,1
Juan Pablo Brzezicki,1
Brian Vahaly,1
Colin Obrien,1
Michael Kohlmann,1
Hiroki Kondo,1
Samuel Groth,1
Harel Levy,1
Uros Vico,1
Glenn Weiner,1
Alex Llompart,1
Sarvar Ikramov,1
Nenad Zimonjic,1
Florin Mergea,1
Wolfgang Schranz,1
Julian Knowle,1
Daniel Vallverdu,1
Di Wu,1
Romain Arneodo,1
Michael Tebbutt,1
Jack Brasington,1
Matthias Bachinger,1
Sebastien Grosjean,1
Herkko Pollanen,1
Yohny Romero,1
Lionel Roux,1
Leonardo Tavares,1
Dimitri Mazur,1
Andrey Kuznetsov,1
Rabie Chaki,1
Mauricio Echazu,1
Marcelo Demoliner,1
Albano Olivetti,1
Oleg Ogorodov,1
Kornel Bardoczky,1
Carlos Cuadrado,1
Austin Krajicek,1
Wayne Ferreira,1
Aljaz Radinski,1
Adrian Garcia,1
Nik Razborsek,1
Marcin Matkowski,1
Jiri Vanek,1
Renzo Furlan,1
Alex Corretja,1
Ashkan Shokoofi,1
Scott Barron,1
Franco Squillari,1
Melle Van Gemerden,1
Elbert Sie,1
Juan Sebastian Cabal,1
Kyle Edmund,1
Febi Widhiyanto,1
Mate Delic,1
Janez Semrajc,1
Jimy Szymanski,1
Filip Polasek,1
Mauricio Hadad,1
Andrey Rublev,1
Benoit Paire,1
Felix Mantilla,1
Gabriel Trifu,1
Raven Klaasen,1
Rodolphe Cadart,1
Patrik Langvardt,1
Sebo Kiss,1
Peter Wessels,1
Paul Henri Mathieu,1
John Van Lottum,1
Pierre Ludovic Duclos,1
Jared Palmer,1
Carlos Berlocq,1
Henri Kontinen,1
Mao Xin Gong,1
Martin Damm,1
Jicham Zaatini,1
Arnaud Di Pasquale,1
Sebastian Decoud,1
Diego Junqueira,1
Ricardo Rodriguez,1
Daniel Kosakowski,1
Todd Larkham,1
Tapio Nurminen,1
Gilles Simon,1
Steve Darcis,1
Lado Chikhladze,1
Kevin King,1
Ariez Elyaas Deen Heshaam,1
Radu Albot,1
Alejandro Hernandez,1
Konstantin Kravchuk,1
Daniel Brands,1
Noam Okun,1
Arnaud Clement,1
Evghenii Plugariov,1
Nodar Itonishvili,1
Florent Serra,1
Ervin Eleskovic,1
Flavio Saretta,1
Paul Goldstein,1
Sean Cooper,1
Kevin Kim,1
Sonchat Ratiwatana,1
Aivaras Balzekas,1
Peter Clarke,1
Lukas Dlouhy,1
Mariano Hood,1
Thomas Schoorel,1
Mounir El Aarej,1
Mikhail Biryukov,1
Mariusz Fyrstenberg,1
Luka Belic,1
Gerald Melzer,1
Amro Ghoneim,1
Paris Gemouchidis,1
Martin Emmrich,1
Dominic Thiem,1
Julien Mathieu,1
Petar Jelenic,1
Miles Maclagan,1
Olivier Patience,1
Mark Nielsen,1
Guillermo Hormazabal,1
Yew Ming Si,1
Martin Alund,1
Lukas Mugevicius,1
Abdullah Maqdas,1
Wayne Odesnik,1
Matias Boeker,1
Werner Eschauer,1
Piero Luisi,1
Potito Starace,1
Xavier Malisse,1
John Millman,1
Gabriel Montilla,1
Evgeny Kirillov,1
Igor Kunitsyn,1
Vijayant Malik,1
Dimitar Grabuloski,1
Jonathan Erlich,1
Salifu Mohammed,1
Cedrik Marcel Stebe,1
Marcel Granollers,1
Alistair Hunt,1
Milen Velev,1
Hyeon Chung,1
Markus Eriksson,1
Nikola Milojevic,1
Alejandro Gonzalez,1
Alejandro Gomez GB42,1
Boris Pashanski,1
Markus Hipfl,1
Aleksandr Nedovyesov,1
Thomas Oger,1
Sergis Kyratzis,1
Mario Radic,1
Tatsuma Ito,1
Takahiro Terachi,1
Chris Eaton,1
Bing Chao Lin,1
Vivek Shokeen,1
Nicolas Jarry,1
Francis Tiafoe,1
Tobias Kamke,1
Felipe Rios,1
Michal Mertinak,1
Cristiano Caratti,1
Nicolas Coutelot,1
Inigo Cervantes Huegun,1
Roberto Cid,1
Evgeny Donskoy,1
Nicolas Renavand,1
Shane Stone,1
Andrej Martin,1
Uladzimir Ignatik,1
Hicham Khaddari,1
Giorgio Galimberti,1
Wishaya Trongcharoenchaikul,1
Ilija Martinoski,1
Sherif Sabry,1
Scoville Jenkins,1
Damian Patriarca,1
Hyung Taik Lee,1
Eric Prodon,1
Miha Gregorc,1
Edgardo Massa,1
Hernan Gumy,1
Mehdi Tahiri,1
Francisco Clavet,1
Louis Vosloo,1
Jean Andersen,1
Ahmad Rabeea Muhammad,1
Edouard Roger Vasselin,1
Barry King,1
Daniel King Turner,1
Darius Florin Bragusi,1
Irakli Ushangishvili,1
Evgeny Korolev,1
Nicolas Devilder,1
Wisnu Adi Nugroho,1
Simon Greul,1
Liam Broady,1
Daniel Elsner,1
Jae Sung An,1
Ryan Russell,1
Andrea Stoppini,1
Ji Sung Nam,1
Mate Pavic,1
Julien Benneteau,1
Tobias Clemens,1
Michel Kratochvil,1
Markus Hantschk,1
Vincenzo Santopadre,1
Kei Nishikori,1
Scott Draper,1
Goncalo Nicau,1
Jaume Munar,1
Rogerio Dutra Silva,1
Yu Jr Wang,1
Shahab Hassani Nafez,1
Marat Deviatiarov,1
Adrian Cruciat,1
Vincent Millot,1
Tasuku Iwami,1
Olivier Sajous,1
Nathan Pasha,1
George Bastl,1
Irakli Labadze,1
Ugo Nastasi,1
Christian Lindell,1
Photos Kallias,1
Gouichi Motomura,1
Jeson Patrombon,1
Jesse Levine,1
Sanchai Ratiwatana,1
Pavol Cervenak,1
Viktor Durasovic,1
Edgar Hernandez Perez,1
Gyorgy Balazs,1
Haithem Abid,1
Matias Silva,1
Karol Beck,1
Nicolas Kiefer,1
Alexander Kudryavtsev,1
Cyril Saulnier,1
David Skoch,1
Dustin Brown,1
Vasilly Kazhera,1
Daniel Evans,1
David Agung Susanto,1
Zhe Li,1
Joao Souza,1
Joao Cunha Silva,1
Felipe Parada,1
Robin Kern,1
Anoosha Shahgholi,1
Roman Valent,1
Gianluca Pozzi,1
Jonathan Eysseric,1
Daniel Danilovic,1
Hsin Han Lee,1
Nikos Rovas,1
Juan Balcells,1
Marco Cecchinato,1
Kyu Tae Im,1
Genius Chidzikwe,1
Stefan Kozlov,1
Orest Tereshchuk,1
Wesley Whitehouse,1
Daniel Alejandro Lopez Cassaccia,1
Sebastien De Chaunac,1
Christopher Koderisch,1
Yann Marti,1
Frantisek Cermak,1
Marc Lopez,1
Laurent Bram,1
Alex Kuznetsov,1
Brian Baker,1
Bernard Tomic,1
Theodoros Angelinos,1
Thierry Guardiola,1
Denis Istomin,1
Lamine Ouahab,1
Andrei Stoliarov,1
Ya Nan Ma,1
Ivan Dodig,1
John Hui,1
Thomas Enqvist,1
Justin Bower,1
Ali Ghareeb,1
Rajeev Ram,1
Jan Siemerink,1
Harri Heliovaara,1
Ilia Kushev,1
Navdeep Singh,1
Daniel Gimeno Traver,1
Karan Rastogi,1
Michihisa Onoda,1
Ivan Cerovic,1
Ivaylo Traykov,1
Andre Ghem,1
Jan Hajek,1
Michael Llodra,1
Facundo Arguello,1
Vincent Spadea,1
Filip Krajinovic,1
Victor Crivoi,1
Robin Vik,1
Alex Lopez Moron,1
Sargis Sargsian,1
Stefano Cobolli,1
Barry Cowan,1
Carlos Avellan,1
Jamie Murray,1
Yu Zhang,1
Ryan Sweeting,1
Timo Nieminen,1
Wesley Moodie,1
Ivo Bratanov,1
Amir Weintraub,1
Devin Mullings,1
Vladimir Ivanov,1
Rasmus Norby,1
Bernardo Mota,1
Jack Sock,1
Fritz Wolmarans,1
Albert Montanes,1
Frederik Nielsen,1
Konstantin Don Gruber,1
Jiri Novak,1
Didac Perez,1
Omar Awadhy,1
Philip Davydenko,1
Mauricio Estivariz,1
Mousa Shanan Zayed,1
Thomas Fabbiano,1
Marvin Rolle,1
Vladimir Voltchkov,1
Simon Rea,1
Mahmoud Ezz,1
Karen Khachanov,1
