,anomalies
Roger Federer,262
David Ferrer,206
Rafael Nadal,205
Lleyton Hewitt,187
Nikolay Davydenko,179
Tommy Robredo,172
Jarkko Nieminen,167
Mikhail Youzhny,166
Novak Djokovic,163
Andy Roddick,161
Tomas Berdych,159
Feliciano Lopez,155
Fernando Verdasco,150
Juan Carlos Ferrero,145
Gilles Simon,142
Andy Murray,141
Marat Safin,136
James Blake,134
Ivan Ljubicic,133
Stanislas Wawrinka,133
Jurgen Melzer,131
Carlos Moya,130
Tommy Haas,130
Jo Wilfried Tsonga,123
Radek Stepanek,122
Rainer Schuettler,122
Richard Gasquet,121
Juan Ignacio Chela,120
Philipp Kohlschreiber,120
David Nalbandian,120
Nicolas Almagro,118
Mardy Fish,117
Fernando Gonzalez,113
Arnaud Clement,112
Andreas Seppi,111
Nicolas Massu,111
Marcos Baghdatis,109
Sebastien Grosjean,106
Olivier Rochus,104
Xavier Malisse,103
Ivo Karlovic,102
Gael Monfils,102
Guillermo Garcia Lopez,100
Sam Querrey,99
Juan Martin Del Potro,99
John Isner,97
Michael Llodra,96
Juan Monaco,95
Janko Tipsarevic,94
Dmitry Tursunov,93
Albert Montanes,93
Paul Henri Mathieu,92
Dominik Hrbaty,92
Nicolas Kiefer,90
Fabrice Santoro,90
Marin Cilic,89
Paradorn Srichaphan,88
Stefan Koubek,88
2.0,86
Victor Hanescu,86
Andrei Pavel,85
Fabio Fognini,85
Jiri Novak,84
Julien Benneteau,84
Filippo Volandri,83
Tim Henman,83
Gustavo Kuerten,82
Alberto Martin,82
Thomas Johansson,82
Denis Istomin,82
Potito Starace,82
Max Mirnyi,81
Gaston Gaudio,81
Agustin Calleri,78
Jeremy Chardy,77
Jonas Bjorkman,77
Robin Soderling,77
4.0,77
Ernests Gulbis,75
Mario Ancic,75
Yen Hsun Lu,75
Nicolas Lapentti,74
Robby Ginepri,73
Igor Andreev,73
Andre Agassi,72
Florian Mayer,72
Santiago Giraldo,70
Milos Raonic,69
Kevin Anderson,69
1.0,69
Pablo Andujar,68
Benjamin Becker,68
Thomaz Bellucci,67
Luis Horna,66
Christophe Rochus,66
Nicolas Mahut,66
Guillermo Coria,66
Viktor Troicki,66
Sergiy Stakhovsky,65
Yevgeny Kafelnikov,65
Jose Acasuso,64
Gilles Muller,64
Davide Sanguinetti,64
Kei Nishikori,64
Vincent Spadea,64
Teymuraz Gabashvili,63
Mariano Zabaleta,63
Taylor Dent,63
Carlos Berlocq,62
Jan Michael Gambill,62
Dudi Sela,61
Hyung Taik Lee,61
Guillermo Canas,61
Fernando Vicente,60
Alexandr Dolgopolov,59
Robin Haase,59
3.0,58
Alejandro Falla,58
Alex Corretja,57
Marcel Granollers,57
Younes El Aynaoui,56
Grigor Dimitrov,55
Lukasz Kubot,55
Florent Serra,54
Sjeng Schalken,54
0.0,53
Ivan Dodig,52
Albert Costa,52
Greg Rusedski,52
Thomas Enqvist,52
Donald Young,52
Wayne Ferreira,49
5.0,49
Felix Mantilla,49
Igor Kunitsyn,48
Lukas Rosol,48
Lars Burgsmuller,46
Mark Philippoussis,46
Sargis Sargsian,46
Albert Portas,46
Wayne Arthurs,46
Michael Russell,45
Michael Berrer,45
Leonardo Mayer,45
Ruben Ramirez Hidalgo,45
6.0,44
Jan Hernych,44
Bjorn Phau,43
Simone Bolelli,42
Cyril Saulnier,42
Jiri Vanek,42
Pablo Cuevas,42
Adrian Mannarino,41
Franco Squillari,41
Andrey Golubev,41
Nicolas Escude,41
Karol Beck,41
Raemon Sluiter,41
Hicham Arazi,41
Daniel Gimeno Traver,40
Pete Sampras,39
Karol Kucera,39
8.0,39
Jack Sock,39
Kenneth Carlsen,39
Roberto Bautista Agut,39
Steve Darcis,38
Marc Gicquel,38
Francisco Clavet,38
Justin Gimelstob,38
Magnus Norman,38
Mikhail Kukushkin,38
Mischa Zverev,37
David Sanchez,37
Andreas Vinciguerra,37
Ricardas Berankis,37
Somdev Devvarman,37
Martin Klizan,37
Lukas Lacko,37
Tobias Kamke,36
Philipp Petzschner,36
Flavio Saretta,36
7.0,36
David Goffin,36
Antony Dupuis,36
Oscar Hernandez,35
Vasek Pospisil,35
Bernard Tomic,35
Mariano Puerta,34
Bohdan Ulihrach,34
Patrick Rafter,34
Albert Ramos,34
Marcelo Rios,34
Benoit Paire,33
Kevin Kim,33
Edouard Roger Vasselin,33
Ryan Harrison,33
Andre Sa,33
Evgeny Korolev,32
Go Soeda,32
Galo Blanco,32
Kristof Vliegen,32
Jerzy Janowicz,32
Julien Boutter,31
Frank Dancevic,31
Marinko Matosevic,30
Ricardo Mello,30
Todd Martin,30
Michal Przysiezny,29
Cedric Pioline,29
Daniel Brands,29
Joachim Johansson,28
Michael Chang,28
George Bastl,28
Horacio Zeballos,28
Matthew Ebden,27
Blaz Kavcic,27
Alex Calatrava,27
Marco Chiudinelli,27
Kristian Pless,27
Paul Goldstein,26
Wesley Moodie,26
Martin Verkerk,26
Martin Vassallo Arguello,26
Peter Luczak,26
Vladimir Voltchkov,26
Thiemo De Bakker,26
Paul Capdeville,26
Bobby Reynolds,26
Tomas Zib,26
Andreas Haider Maurer,26
Jerome Golmard,26
Federico Delbonis,26
Irakli Labadze,25
Adrian Voinea,25
Joao Sousa,25
Dominic Thiem,25
Pablo Carreno Busta,25
Juan Antonio Marin,25
Alex Bogomolov Jr,25
Harel Levy,25
Andrea Gaudenzi,25
Michel Kratochvil,25
Ryan Sweeting,25
Steve Johnson,24
Danai Udomchoke,24
Jan Hajek,24
Jean Rene Lisnard,23
9.0,23
Boris Pashanski,23
Paolo Lorenzi,23
Rajeev Ram,23
Frederico Gil,23
Goran Ivanisevic,23
Alexander Popp,23
Jimmy Wang,22
Aljaz Bedene,22
David Prinosil,22
Juan Balcells,22
Eduardo Schwank,22
Markus Hipfl,22
Olivier Patience,21
Fernando Meligeni,21
Igor Sijsling,20
Ramon Delgado,20
Alexander Waske,20
Pere Riba,20
Chris Guccione,20
Andreas Beck,20
Karim Alami,20
Arnaud Di Pasquale,20
Tomas Behrend,20
Andrew Ilie,19
Marc Rosset,19
Cecil Mamiit,19
Byron Black,19
Attila Savolt,19
Marsel Ilhan,19
Victor Estrella,19
Dustin Brown,18
Robert Kendrick,18
Thierry Ascione,18
Noam Okun,18
Magnus Gustafsson,17
Sergio Roitman,17
Grega Zemlja,17
Ivan Navarro,17
Flavio Cipolla,17
Jan Vacek,17
Jesse Levine,17
Richard Krajicek,17
Simon Greul,17
Marius Copil,17
Gianluca Pozzi,16
Alexander Peya,16
Daniele Bracciali,16
Rui Machado,16
Ivo Minar,16
Wayne Odesnik,16
Denis Gremelmayr,16
Illya Marchenko,16
Kenny De Schepper,16
10.0,16
Tim Smyczek,16
Ivan Miranda,16
Marc Lopez,15
Adrian Ungur,15
Michal Tabara,15
James Ward,15
12.0,15
Samuel Groth,15
Oliver Marach,15
John Van Lottum,15
Jiri Vesely,15
Slava Dosedel,14
Santiago Ventura,14
Rik De Voest,14
Andrey Kuznetsov,14
Robin Vik,14
Nicolas Devilder,14
Tatsuma Ito,14
Sergi Bruguera,14
Unknown,14
Jeff Morrison,14
Andis Juska,14
Diego Junqueira,14
100.0,14
Dick Norman,13
Gregory Carraz,13
Jeff Tarango,13
Roko Karanusic,13
13.0,13
Cedrik Marcel Stebe,13
Arvind Parmar,13
Filip Krajinovic,13
Giovanni Lapentti,13
Ivo Heuberger,13
11.0,13
90.0,12
Stephane Robert,12
Benjamin Balleret,12
Jason Stoltenberg,12
Borna Coric,12
Daniel Nestor,12
Jan Lennard Struff,12
14.0,12
Olivier Mutis,12
Mohammad Ghareeb,12
Peter Wessels,12
Aqeel Khan,12
Brian Baker,12
Scott Draper,12
Chris Woodruff,12
Aisam Ul Haq Qureshi,12
Prakash Amritraj,12
Dusan Lajovic,12
Eric Taino,12
Martin Damm,12
Markus Hantschk,12
Andrei Medvedev,11
Magnus Larsson,11
Marcos Daniel,11
74.0,11
Andrei Stoliarov,11
Marcel Felder,11
Takao Suzuki,11
Malek Jaziri,11
Daniel Koellerer,11
Jan Siemerink,11
Werner Eschauer,11
80.0,11
Victor Crivoi,11
Bob Bryan,11
Evgeny Donskoy,11
Guido Pella,11
Denis Kudla,11
Matthias Bachinger,11
Jamie Delgado,11
Wayne Black,10
Kittipong Wachiramanowong,10
Farrukh Dustov,10
Joao Souza,10
Brian Dabul,10
83.0,10
Jesse Huta Galung,10
Jan Frode Andersen,10
Martin Lee,10
Hugo Armando,10
Daniel Elsner,10
Alex Bogdanovic,10
Radu Albot,10
Tuomas Ketola,10
71.0,10
Brian Vahaly,10
Lukas Dlouhy,10
81.0,10
Alejandro Gonzalez,10
Razvan Sabau,10
69.0,10
Gastao Elias,10
Guillaume Rufin,10
87.0,9
Lucas Pouille,9
Julian Reister,9
68.0,9
Michael Kohlmann,9
Damir Dzumhur,9
Thanasi Kokkinakis,9
Maximo Gonzalez,9
Amer Delic,9
91.0,9
Dennis Van Scheppingen,9
107.0,9
Abdullah Maqdas,9
Alex Kuznetsov,9
Ruben Bemelmans,9
Pierre Hugues Herbert,9
Alessio Di Mauro,9
Hyeon Chung,9
Christopher Rungkat,8
Jose Rubin Statham,8
115.0,8
Yuichi Sugita,8
Nicolas Thomann,8
Nick Kyrgios,8
Di Wu,8
78.0,8
Gaston Etlis,8
Ben Qiang Zhu,8
15.0,8
Thiago Alves,8
Uladzimir Ignatik,8
Laurence Tieleman,8
Marko Tkalec,8
Jose De Armas,8
Richard Fromberg,8
Mark Nielsen,7
103.0,7
Peter Polansky,7
120.0,7
Todd Reid,7
Brendan Evans,7
Andrey Rublev,7
65.0,7
Daniel Vacek,7
Alex Kim,7
Alberto Berasategui,7
127.0,7
Miguel Gallardo Valles,7
Ronald Agenor,7
Daniel Evans,7
Hernan Gumy,7
93.0,7
102.0,7
Alexandre Simoni,7
Ze Zhang,7
Michael Leong,7
94.0,7
108.0,7
Adrian Garcia,7
Blaz Rola,7
117.0,7
Scoville Jenkins,7
Frantisek Cermak,7
86.0,7
92.0,7
Martin Pedersen,7
Nicolas Coutelot,7
Edgardo Massa,7
82.0,7
Rafael Arevalo,7
Alexander Zverev,7
Sergei Bubka,7
Valentin Sanon,7
75.0,7
Jose Hernandez,7
Sebastien De Chaunac,7
Vadim Kutsenko,7
Gilles Kremer,7
Konstantinos Economidis,7
Taro Daniel,7
Michal Mertinak,7
Deniss Pavlovs,6
Lazar Magdincev,6
Daniel King Turner,6
Mait Kunnap,6
128.0,6
121.0,6
Mikael Tillstrom,6
Jeff Salzenstein,6
Yuri Schukin,6
77.0,6
Claude Ngoran,6
97.0,6
Joseph Sirianni,6
149.0,6
Devin Mullings,6
111.0,6
Julian Knowle,6
134.0,6
Leander Paes,6
Diego Hartfield,6
73.0,6
57.0,6
Barry Cowan,6
Lorenzo Manta,6
150.0,6
145.0,6
Antonio Veic,6
Mounir El Aarej,6
Karim Maamoun,6
79.0,6
Christian Ruud,6
Michael Yani,6
Federico Luzzi,6
Stefano Galvani,6
Sebastien Lareau,6
116.0,6
Bradley Klahn,6
David Agung Susanto,6
Sebo Kiss,6
119.0,6
125.0,6
Austin Krajicek,6
Oleg Ogorodov,6
Diego Sebastian Schwartzman,6
106.0,6
96.0,6
Oliver Gross,6
Jurgen Zopp,6
Hiu Tung Yu,6
Eric Prodon,6
Zeljko Krajan,6
122.0,6
66.0,6
140.0,5
124.0,5
Sandor Martinez Breijo,5
Ti Chen,5
Treat Conrad Huey,5
Frederic Niemeyer,5
76.0,5
16.0,5
Elias Ymer,5
118.0,5
Suwandi Suwandi,5
Jared Donaldson,5
Jhonson Garcia,5
Jhonnatan Medina Alvarez,5
Woong Sun Jun,5
Prima Simpatiaji,5
143.0,5
Elbert Sie,5
Leonardo Tavares,5
Mehdi Tahiri,5
Amir Weintraub,5
James Duckworth,5
Patrick Tierro,5
88.0,5
Martin Fischer,5
132.0,5
Stian Boretti,5
Jamie Baker,5
Alexey Kedryuk,5
Simon Larose,5
176.0,5
Gilles Elseneer,5
Henri Laaksonen,5
Michail Elgin,5
Carsten Ball,5
Xin Yuan Yu,5
Yuki Bhambri,5
72.0,5
18.0,5
67.0,5
Lamine Ouahab,5
Peng Sun,5
Daniel Garza,5
Rohan Bopanna,5
Juan Sebastian Cabal,5
Zack Fleishman,5
Rogerio Dutra Silva,5
Francisco Rodriguez,5
Albano Olivetti,5
89.0,5
Mohammed Al Nabhani,5
Shao Xuan Zeng,5
Michael Ryderstedt,5
Martin Alund,5
Todd Widom,5
85.0,5
Frederik Nielsen,5
Dusan Vemic,5
Orlin Stanoytchev,5
70.0,5
Edwin Kempes,5
Sam Warburg,5
Kornel Bardoczky,4
James Sekulov,4
Alan Mackin,4
Federico Dondo,4
Izak Van Der Merwe,4
Renzo Furlan,4
Emilio Gomez,4
Sherif Sabry,4
Ilija Bozoljac,4
Michael Venus,4
Guillaume Couillard,4
Kyle Edmund,4
Peter Gojowczyk,4
Piero Luisi,4
Federico Sansonetti,4
Mauricio Echazu,4
137.0,4
105.0,4
52.0,4
Stephane Bohli,4
Mike Scheidweiler,4
Marcelo Arevalo,4
109.0,4
Philip Bester,4
Juan Pablo Guzman,4
Gergely Kisgyorgy,4
131.0,4
142.0,4
Cyril Jacobe,4
Orest Tereshchuk,4
64.0,4
139.0,4
Gouichi Motomura,4
Peter Clarke,4
Roberto Cid,4
John Millman,4
113.0,4
Dmitriy Makeyev,4
Ashkan Shokoofi,4
Slimane Saoudi,4
Andy Ram,4
Marc Kevin Goellner,4
Christian Lindell,4
Hugo Dellien,4
Christian Vinck,4
Jean Julien Rojer,4
Mark Merklein,4
Julio Cesar Campozano,4
Martin Rodriguez,4
Todor Enev,4
98.0,4
Helge Koll Frafjord,4
Pablo Gonzalez,4
173.0,4
German Puentes,4
Jacobo Diaz,4
Axel Pretzsch,4
Facundo Arguello,4
Wing Luen Wong,4
101.0,4
Lee Childs,4
126.0,4
114.0,4
Julian Alonso,4
Laurynas Grigelis,4
Mehdi Ziadi,4
147.0,4
156.0,4
Daniel Alejandro Lopez Cassaccia,4
Paul Baccanello,4
Mikhail Ledovskikh,4
Conor Niland,4
Diego Nargiso,4
84.0,4
129.0,4
Anoosha Shahgholi,4
Federico Browne,4
Sanchai Ratiwatana,4
Matteo Viola,4
Nathan Healey,4
Martin Cuevas,3
61.0,3
17.0,3
Franco Ferreiro,3
Giorgio Galimberti,3
Omar Awadhy,3
123.0,3
Mohamed Safwat,3
Glenn Weiner,3
Louk Sorensen,3
Gustavo Marcaccio,3
155.0,3
Vasilis Mazarakis,3
Gustavo Ramirez,3
Aivaras Balzekas,3
Jorge Aguilar,3
160.0,3
Olivier Sajous,3
Ricardo Hocevar,3
Konstantin Kravchuk,3
Gabriel Trifu,3
Alex Llompart,3
Filip Peliwo,3
Seanon Williams,3
Juan Carlos Ramirez,3
Yu Jr Wang,3
Jean Christophe Faurel,3
Alexandre Sidorenko,3
Radoslav Lukaev,3
Johnny Arcilla,3
Harshana Godamanna,3
165.0,3
112.0,3
Cristian Paiz,3
Daniel Munoz De La Nava,3
Filip Dewulf,3
Robert Smeets,3
Nicolas Jarry,3
Ota Fukarek,3
Sergis Kyratzis,3
Facundo Bagnis,3
John Doran,3
Efe Ustundag,3
159.0,3
181.0,3
Jens Knippschild,3
Ibrahim Abou Chahine,3
Nikos Rovas,3
Neville Godwin,3
Karlis Lejnieks,3
Andrian Raturandang,3
Alexander Kudryavtsev,3
Jaroslav Pospisil,3
Andrei Gorban,3
110.0,3
Julio Silva,3
Toshihide Matsui,3
Mathieu Montcourt,3
Michael Lammer,3
Karim Alayli,3
Aleksandr Nedovyesov,3
Jose Bernard,3
152.0,3
Harsh Mankad,3
Dimitar Kutrovsky,3
189.0,3
Josselin Ouanna,3
Martin Vilarrubi,3
19.0,3
Stephane Huet,3
Diego Galeano,3
Ricardo Chile Fonte,3
Satoshi Iwabuchi,3
Mate Pavic,3
58.0,3
Christopher Diaz Figueroa,3
